Official Symbol Interactor A,Official Symbol Interactor B
BRCA1,MSH6
RB1,CUX1
DCN,EGFR
KDR,ANXA5
FGFR1,FDPS
SUMO1,FAS
PRRC2A,FGA
FGFR1,FRS3
MCM7,RB1
PIK3R3,PIK3CA
PDPK1,PRKCZ
WWC1,PRKCZ
HBP1,RB1
RB1,TRAP1
AATF,RB1
RB1,THOC1
ANK1,OBSCN
TP53,WWOX
TP53,CDC14A
KDR,SHC2
DTNA,DMD
PPP1R9B,CDKN2A
EIF5A,RPL5
FASN,FASN
TOP3B,CENPF
CENPF,CENPF
BCAR1,RAPGEF1
YWHAZ,BCAR1
LSM7,MYH13
HSH2D,TNK2
SYNE1,SYNE1
CSNK2B,RPL5
DAZAP2,DCUN1D1
TOP3B,CHIC2
TP53,MAGEB18
SPRY2,TRIM51
DDIT3,HSD17B14
EWSR1,FASN
MDFI,CHIC2
AP2B1,MLH1
RNF40,TRIM51
MLH1,TRIM29
U2AF2,CHIC2
MAPK9,CEP44
UBE2I,IKZF1
CDK4,CDKN2D
AP2M1,IKZF1
CHIC2,KRTAP4-12
EWSR1,KEL
HOXA1,CHIC2
MAPK9,ZBTB25
DCUN1D1,TRIM39
MAPK9,SF3B4
DYNC1I1,DYNLL2
PARK2,TRIP13
MAGEA11,TRIM51
MLH1,ZC3H11A
DDIT3,MCMBP
MLH1,FRMD6
DVL2,TP53
MLLT3,APPBP2
MDFI,TRPV6
DYNC1I1,DYNLRB1
CPSF4,FIP1L1
CDK4,VTA1
EEF1G,ABCC9
DDIT3,SPOP
CDKN2B,MAGEA11
HNRNPK,QKI
MCM6,MLLT3
OTX1,CHIC2
CHIC2,CATSPER1
CHIC2,PLEKHF2
MLH1,UBOX5
MAPK9,WDR62
PRKCZ,PARD6A
CDK4,CDKN2B
DDIT3,BATF
CCND3,CDK4
CEBPG,DDIT3
LIN9,RB1
LIN9,RB1
EGFR,SHC1
EGFR,SH3BGRL
EGFR,STAT5A
EGFR,PTPN11
EGFR,CRK
EGFR,CSK
EGFR,CBLB
EGFR,GRB2
ERBB2,SHC1
ERBB2,SH3BGRL
ERBB2,PTPN11
ERBB2,GRB2
EGFR,STAT5A
EGFR,STAT3
CDKN2C,CDK4
ARF6,IQGAP1
YWHAB,BRAF
YWHAG,BRAF
CDKN2C,CDK6
TRAF6,EPPK1
CDK4,CDC37
ARF6,EPPK1
CDK4,CDKN2A
GSTK1,EPPK1
TSC22D1,EPPK1
YWHAQ,BRAF
RPRM,CDK4
SGK1,LTF
ACTR3B,CDK4
YWHAZ,BRAF
CDK4,CDKN2C
AK1,KMT2C
UBAC1,MYH2
EFHD1,TCHH
DBNL,CDK4
CDK4,SMC3
AURKA,CDKN2A
CDK4,RPRM
CDKN2C,QPCTL
EIF4A2,ATRX
CDK4,DBNL
CDK4,GEMIN4
CASP4,MSH6
PSPH,PRPSAP1
PHB2,EPPK1
CDK4,UBXN1
STYXL1,PSPH
CDK4,SMC1A
ASF1B,PSPH
RASGRF2,EPPK1
CDK4,LYN
LCP2,PIK3R1
LCP2,PIK3R1
MYC,MSH6
NME2,EPPK1
NCOA6,KMT2C
ASH2L,KMT2C
NCOA6,KMT2C
RBBP5,KMT2C
CDKN2A,CDK4
CDKN2A,CDK6
TP53,TP53BP1
PIK3R1,Ctnnb1
CTNNB1,PIK3R1
BRCA1,MSH6
TP53,BAK1
TP53,BAK1
TP53,BAK1
TRIP6,BCAR1
ATM,TP53
TP53,BLM
BLM,TP53
BLM,TP53
TP53BP1,TP53
TP53BP1,TP53
BRCA1,RB1
BRCA1,TP53
MLH1,BLM
MSH6,BLM
ATM,TP53
ATR,TP53
BLM,MLH1
BLM,MLH1
BLM,MLH1
BLM,MLH1
ABL1,RB1
BCR,RB1
TFAP2A,TP53
SRC,PIK3R1
CTBP1,IKZF1
CTBP1,IKZF1
TP53,BLM
BLM,TP53
BLM,TP53
BLM,TP53
BRCA1,TP53
ATM,TP53
NCOA6,RB1
EPHA3,TP53
RB1,BAG1
SRC,BCAR1
SRC,BCAR1
FAS,BID
FAS,TNFRSF10B
FAS,EZR
FAS,FADD
FAS,FASLG
FAS,MAPK8
FAS,MSN
FAS,CASP10
FAS,CASP8
FAS,RHOA
FAS,ARHGDIA
FAS,TNFRSF1A
MDC1,H2AFX
MDC1,H2AFX
BCAR1,PTK2
BCAR1,PXN
BCAR1,TNS1
BARD1,TP53
BRCA1,TP53
BRCA1,TP53
RAD51,TP53
RAD51,TP53
RAD51,TP53
BRCA2,TP53
BRCA2,TP53
BRCA2,TP53
BRE,TP53
BRE,TP53
BRE,TP53
BRCC3,TP53
BRCC3,TP53
BCAR1,SRC
BRCA1,RB1
BRCA1,RB1
BRCA1,RB1
BLM,TP53
BLM,TP53
TP53,TP53BP1
MDM2,TP53
MDC1,CENPC
MDC1,GATA4
MDC1,HDAC10
MDC1,HDAC8
MDC1,MDM2
MDC1,POLR2A
MDC1,WRN
ATM,TP53
MUC1,ERBB2
MUC1,ERBB2
TP53,TP53
BCAR1,CRKL
BCAR1,CRKL
BCAR1,CRK
BRCA1,TP53
BRCA1,TP53
TP53,RPA1
ABL1,PIK3R1
FYN,PIK3R1
LCK,PIK3R1
PIK3R1,PIK3R1
CBL,PDGFRA
CBL,PDGFRA
EGFR,CTNNB1
EGFR,CTNND1
EGFR,JUP
SHC1,PIK3R1
RB1,RBBP8
RB1,HDAC1
CHEK1,TP53
MDM2,CTBP1
MDM2,CTBP1
BCAR1,ABL1
SFN,BCAR1
SFN,BRAF
SFN,ERRFI1
SFN,ERRFI1
TP53,CHEK1
BRCA1,TP53
PTEN,AR
PTEN,AR
TP53BP1,TP53
MDM2,TP53
RB1,AR
AR,TP53
TP53,TP53BP1
ATR,PIK3CA
ATM,TP53
ATR,TP53
PRKDC,TP53
S100B,TP53
TP53,SFN
TP53,TP53BP1
TP53,TFAP2A
TP53,TFAP2C
CDC27,ANAPC1
CDC27,ANAPC10
CDC27,ANAPC11
CDC27,ANAPC4
CDC27,ANAPC5
CDC27,CDC16
CDC27,ANAPC7
CDC27,CDC23
EGFR,AR
EGFR,AR
KMT2C,NCOA6
RB1,NCOA6
RB1,NCOA6
MLH1,ATM
MSH6,ATM
HRAS,BRAF
CDC20,CDC27
TP53,CDKN1A
TP53,CHEK1
BCR,KIT
EGFR,CTNNB1
ERBB2,CTNNB1
ERBB2,CTNNB1
AR,EGFR
AR,EGFR
CTNNB1,ERBB2
CTNNB1,ERBB2
PTEN,ESR1
SPTA1,FANCA
KMT2C,HIST2H3C
KMT2C,ASCL2
CTBP2,MDM2
CTBP2,MDM2
RBBP8,IKZF1
SIN3A,IKZF1
BLM,MLH1
BRCA1,MLH1
MRE11A,MLH1
MSH2,MLH1
MSH6,MLH1
NBN,MLH1
RAD50,MLH1
BARD1,MSH6
BRCA1,MSH6
MRE11A,MSH6
MSH2,MSH6
NBN,MSH6
RAD50,MSH6
TFAP2A,TP53
TFAP2A,TP53
TP53,TP53
MDM2,TP73
KMT2C,RBBP5
MLH1,RFC1
MSH6,RFC1
TP53,RPA1
TP53,S100B
IKZF1,NCOR2
IKZF1,TBP
IKZF1,GTF2B
BARD1,TP53
BRCA1,TP53
BRCC3,TP53
Banp,TP53
Banp,TP53
LINC01194,TP53
SPTA1,ERCC4
SPATC1,CDC27
PARD6A,PRKCZ
ECT2,PRKCZ
PIK3CA,RASGRP3
PML,MDM2
PML,MDM2
TP53,EP300
TP53,PRMT1
TP53,CARM1
TP53,ANKRD2
TP53,ANKRD2
YBX1,TP53
PAWR,SLC5A7
SLC5A7,PAWR
ANAPC5,CDC27
WWC1,PRKCZ
PRKCZ,WWC1
SERTAD1,CDK4
CDKN2A,CCND2
CDKN2A,CDK4
SERTAD1,CDKN2A
APTX,TP53
PARP1,TP53
XRCC1,TP53
APTX,TP53
SHB,KDR
KCNJ12,DMD
KCNJ4,DMD
KDR,PLXNA1
ERC2,PCLO
PIK3CA,HRAS
PIK3CA,RASD2
PRKCZ,FEZ2
FEZ2,PRKCZ
KLK13,A2M
GRM3,PPM1A
GRM3,PPM1A
MSH2,MSH6
MSH6,SMC1A
BCAR1,SRCIN1
BCAR1,SRCIN1
SRCIN1,BCAR1
BCAR1,CRK
SRCIN1,BCAR1
CCND3,CDK4
TP53,CABLES2
TP53,CABLES1
EZR,SPTA1
MDM2,RPL11
MDM2,RPL5
MDM2,CDKN2A
MDM2,TP53
MDM2,CDKN2A
MDM2,RPL11
RPL11,CDKN2A
RPL11,TP53
RPL11,MDM2
CDKN2A,RPL11
CDKN2A,TP53
CDKN2A,MDM2
TP53,CDKN2A
TP53,RPL11
TP53,MDM2
Sufu,GLI1
Su(fu),GLI1
Pias1,GLI1
LCK,PIK3CA
NOTCH1,PIK3CA
PAN2,PAN3
DST,DCTN1
DCTN1,DST
EGFR,EGFR
ERBB2,ERBB2
CD82,ERBB2
PARK2,SEPT5
PARK2,SEPT5
PARK2,SEPT5
NCOR1,TBL1XR1
IGF1,IGFBP7
MDC1,MRE11A
MDC1,MRE11A
MDC1,NBN
MDC1,RAD50
MDC1,TP53
MDC1,H2AFX
MDC1,ATM
PML,MDM2
PML,MDM2
MORF4L2,RB1
PHB,TP53
TP53,PHB
TP53,PHB
CNTN2,CNTNAP2
CNTNAP2,CNTN2
GNB2L1,IL4R
SERPINB2,RB1
SERPINB2,RB1
PRKACA,IQGAP1
IQGAP1,PRKACA
IQGAP1,AKAP5
GRIN2A,DLG1
DLG1,GRIN2A
SRC,GRIN2A
FYN,GRIN2A
HCN1,HCN2
HCN1,HCN3
HCN1,HCN4
PARK2,SYT11
PARK2,SYT11
SYT11,PARK2
POU5F1,SOX2
TP53,MTA1
TP53,MTA2
CAMLG,EGFR
MDM2,PML
MDM2,PML
TP53,PML
TP53,MDM2
TP53,PML
TP53,MDM2
NOV,FN1
RELN,LRP8
RELN,VLDLR
ADAP1,PRKCZ
ADAP1,PRKCZ
ADAP1,PIK3CA
YWHAZ,PRKCZ
PIK3CA,ADAP1
PRKCZ,ADAP1
RB1,CUX1
RB1,CUX1
TP53,EEF2
PIK3CA,DGKZ
DGKZ,PIK3CA
HOMER1,RYR2
FASLG,FAS
PRKCA,EGFR
EGFR,PRKCA
DDIT3,CSNK2A1
CSNK2A1,DDIT3
TP53INP1,TP53
TP53,TP53INP1
TP53INP1,TP53
CALCR,LRP1
LRP1,CALCR
BCAR1,ARHGAP32
ARHGAP32,BCAR1
DISC1,SYNE1
SYT16,SYT16
SYT16,SYT14
FZR1,CDC27
FLT1,KDR
PARK2,AIMP2
PARK2,AIMP2
BCOR,MLLT3
MLLT3,BCOR
CARD6,NOD1
CARD6,RIPK2
